coverage,accuracy_shifted
0.6160,0.9418
0.6166,0.9418
0.6171,0.9419
0.6176,0.9419
0.6181,0.9411
0.6187,0.9412
0.6192,0.9412
0.6197,0.9404
0.6203,0.9396
0.6208,0.9397
0.6213,0.9389
0.6218,0.9389
0.6224,0.9390
0.6229,0.9390
0.6234,0.9382
0.6239,0.9374
0.6245,0.9375
0.6250,0.9376
0.6255,0.9368
0.6261,0.9360
0.6266,0.9360
0.6271,0.9361
0.6276,0.9361
0.6282,0.9362
0.6287,0.9362
0.6292,0.9363
0.6297,0.9355
0.6303,0.9356
0.6308,0.9356
0.6313,0.9357
0.6319,0.9357
0.6324,0.9358
0.6329,0.9350
0.6334,0.9351
0.6340,0.9351
0.6345,0.9343
0.6350,0.9344
0.6355,0.9344
0.6361,0.9337
0.6366,0.9337
0.6371,0.9338
0.6377,0.9338
0.6382,0.9339
0.6387,0.9339
0.6392,0.9340
0.6398,0.9340
0.6403,0.9333
0.6408,0.9333
0.6414,0.9334
0.6419,0.9334
0.6424,0.9335
0.6429,0.9336
0.6435,0.9328
0.6440,0.9328
0.6445,0.9321
0.6450,0.9321
0.6456,0.9322
0.6461,0.9314
0.6466,0.9307
0.6472,0.9307
0.6477,0.9308
0.6482,0.9308
0.6487,0.9309
0.6493,0.9310
0.6498,0.9310
0.6503,0.9303
0.6508,0.9295
0.6514,0.9296
0.6519,0.9296
0.6524,0.9297
0.6530,0.9297
0.6535,0.9298
0.6540,0.9298
0.6545,0.9299
0.6551,0.9291
0.6556,0.9292
0.6561,0.9293
0.6566,0.9293
0.6572,0.9286
0.6577,0.9278
0.6582,0.9271
0.6588,0.9271
0.6593,0.9272
0.6598,0.9273
0.6603,0.9265
0.6609,0.9266
0.6614,0.9258
0.6619,0.9251
0.6624,0.9252
0.6630,0.9252
0.6635,0.9253
0.6640,0.9253
0.6646,0.9254
0.6651,0.9247
0.6656,0.9239
0.6661,0.9240
0.6667,0.9233
0.6672,0.9233
0.6677,0.9226
0.6682,0.9227
0.6688,0.9219
0.6693,0.9212
0.6698,0.9213
0.6704,0.9205
0.6709,0.9206
0.6714,0.9207
0.6719,0.9207
0.6725,0.9208
0.6730,0.9201
0.6735,0.9201
0.6741,0.9202
0.6746,0.9203
0.6751,0.9203
0.6756,0.9204
0.6762,0.9204
0.6767,0.9205
0.6772,0.9206
0.6777,0.9198
0.6783,0.9199
0.6788,0.9200
0.6793,0.9200
0.6799,0.9193
0.6804,0.9194
0.6809,0.9194
0.6814,0.9195
0.6820,0.9196
0.6825,0.9189
0.6830,0.9189
0.6835,0.9190
0.6841,0.9190
0.6846,0.9191
0.6851,0.9184
0.6857,0.9185
0.6862,0.9185
0.6867,0.9178
0.6872,0.9171
0.6878,0.9172
0.6883,0.9165
0.6888,0.9158
0.6893,0.9151
0.6899,0.9151
0.6904,0.9152
0.6909,0.9153
0.6915,0.9153
0.6920,0.9154
0.6925,0.9147
0.6930,0.9148
0.6936,0.9148
0.6941,0.9149
0.6946,0.9150
0.6951,0.9150
0.6957,0.9151
0.6962,0.9152
0.6967,0.9145
0.6973,0.9145
0.6978,0.9138
0.6983,0.9139
0.6988,0.9140
0.6994,0.9133
0.6999,0.9133
0.7004,0.9134
0.7009,0.9127
0.7015,0.9128
0.7020,0.9128
0.7025,0.9129
0.7031,0.9130
0.7036,0.9130
0.7041,0.9131
0.7046,0.9132
0.7052,0.9132
0.7057,0.9133
0.7062,0.9126
0.7068,0.9127
0.7073,0.9128
0.7078,0.9128
0.7083,0.9129
0.7089,0.9129
0.7094,0.9123
0.7099,0.9123
0.7104,0.9124
0.7110,0.9125
0.7115,0.9118
0.7120,0.9119
0.7126,0.9119
